tconst	ordering	nconst	category	job	characters
tt9310204	4	nm3861797	self	\N	["Self - Special Guest"]
tt9310204	5	nm1902223	director	\N	\N
tt9310204	6	nm1943021	self	\N	["Self - Member of Jury"]
tt9310204	7	nm0309168	self	\N	["Self - Host"]
tt9310204	8	nm2876659	self	\N	["Self - Contestant"]
tt9310204	9	nm1463638	self	\N	["Self - Contestant"]
tt9310206	10	nm3476351	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310206	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310206	2	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310206	3	nm1943021	self	\N	["Self - Member of Jury"]
tt9310206	4	nm0309168	self	\N	["Self - Host"]
tt9310206	5	nm1902223	director	\N	\N
tt9310206	6	nm10271950	self	\N	["Self - Special Guest"]
tt9310206	7	nm10271951	self	\N	["Self - Special Guest"]
tt9310206	8	nm2876659	self	\N	["Self - Contestant"]
tt9310206	9	nm1463638	self	\N	["Self - Contestant"]
tt9310208	10	nm4195041	self	\N	["Self - Partner: Edyta Górniak"]
tt9310208	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310208	2	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310208	3	nm1943021	self	\N	["Self - Member of Jury"]
tt9310208	4	nm0309168	self	\N	["Self - Host"]
tt9310208	5	nm1902223	director	\N	\N
tt9310208	6	nm2876659	self	\N	["Self - Contestant"]
tt9310208	7	nm1463638	self	\N	["Self - Contestant"]
tt9310208	8	nm3476351	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310208	9	nm2131865	self	\N	["Self - Contestant"]
tt9310210	10	nm4195041	self	\N	["Self - Partner: Edyta Górniak"]
tt9310210	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310210	2	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310210	3	nm1943021	self	\N	["Self - Member of Jury"]
tt9310210	4	nm0309168	self	\N	["Self - Host"]
tt9310210	5	nm1902223	director	\N	\N
tt9310210	6	nm2876659	self	\N	["Self - Contestant"]
tt9310210	7	nm1463638	self	\N	["Self - Contestant"]
tt9310210	8	nm3476351	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310210	9	nm2131865	self	\N	["Self - Contestant"]
tt9310212	10	nm1967966	self	\N	["Self - Member of Jury"]
tt9310212	1	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310212	2	nm1943021	self	\N	["Self - Member of Jury"]
tt9310212	3	nm0309168	self	\N	["Self - Host"]
tt9310212	4	nm1966764	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310212	5	nm1902223	director	\N	\N
tt9310212	6	nm2876659	self	\N	["Self - Contestant"]
tt9310212	7	nm1463638	self	\N	["Self - Contestant"]
tt9310212	8	nm2131865	self	\N	["Self - Contestant"]
tt9310212	9	nm4195041	self	\N	["Self - Partner: Edyta Górniak"]
tt9310214	10	nm1967966	self	\N	["Self - Member of Jury"]
tt9310214	1	nm10271952	self	\N	["Themselves - Special Guest"]
tt9310214	2	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310214	3	nm1943021	self	\N	["Self - Member of Jury"]
tt9310214	4	nm0309168	self	\N	["Self - Host"]
tt9310214	5	nm1902223	director	\N	\N
tt9310214	6	nm1463638	self	\N	["Self - Contestant"]
tt9310214	7	nm3476351	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310214	8	nm2131865	self	\N	["Self - Contestant"]
tt9310214	9	nm4195041	self	\N	["Self - Partner: Edyta Górniak"]
tt9310216	10	nm3585512	self	\N	["Self - Contestant"]
tt9310216	1	nm1943021	self	\N	["Self - Member of Jury"]
tt9310216	2	nm0309168	self	\N	["Self - Host"]
tt9310216	3	nm1463638	self	\N	["Self - Contestant"]
tt9310216	4	nm3476113	self	\N	["Self - Partner: Monika Pyrek"]
tt9310216	5	nm1902223	director	\N	\N
tt9310216	6	nm3476351	self	\N	["Self - Partner: Pawel Stalinski"]
tt9310216	7	nm4083685	self	\N	["Self - Special Guest"]
tt9310216	8	nm4195041	self	\N	["Self - Partner: Edyta Górniak"]
tt9310216	9	nm1967966	self	\N	["Self - Member of Jury"]
tt9310218	1	nm9195493	self	\N	["Self - Host"]
tt9310220	10	nm3476113	self	\N	["Self - Partner: Anna Kalata"]
tt9310220	1	nm3377075	self	\N	["Self - Partner: Maria Niklinska"]
tt9310220	2	nm2647577	self	\N	["Self - Partner: Patricia Kazadi"]
tt9310220	3	nm1229500	self	\N	["Self - Contestant"]
tt9310220	4	nm1943021	self	\N	["Self - Member of Jury"]
tt9310220	5	nm1902223	director	\N	\N
tt9310220	6	nm0309168	self	\N	["Self - Host"]
tt9310220	7	nm1966764	self	\N	["Self - Partner: Robert Korzeniowski"]
tt9310220	8	nm2876659	self	\N	["Self - Contestant"]
tt9310220	9	nm1463638	self	\N	["Self - Contestant"]
tt9310222	1	nm5280689	self	\N	["Self"]
tt9310222	2	nm5000033	writer	created by	\N
tt9310222	3	nm3838306	writer	created by	\N
tt9310222	4	nm2382162	producer	producer	\N
tt9310222	5	nm5492031	producer	producer	\N
tt9310224	1	nm10271215	director	\N	\N
tt9310224	2	nm0679436	cinematographer	\N	\N
tt9310226	1	nm0413640	self	\N	["Self - Host"]
tt9310228	1	nm0146242	actor	\N	["Programledare"]
tt9310228	2	nm10271321	actress	\N	["Programledare"]
tt9310228	3	nm0027633	actress	\N	["Gunvor Wall, Arnes mamma","Möbelförsäljerskan"]
tt9310228	4	nm0074984	actor	\N	["Ture"]
tt9310228	5	nm1010191	director	\N	\N
tt9310228	6	nm0278980	cinematographer	\N	\N
tt9310228	7	nm0644653	editor	\N	\N
tt9310228	8	nm0290472	production_designer	\N	\N
tt9310228	9	nm0353319	production_designer	\N	\N
tt9310230	1	nm0146242	actor	\N	["Programledare","Kulturrutan-Åke"]
tt9310230	2	nm10271321	actress	\N	["Programledare"]
tt9310230	3	nm0015957	actress	\N	["Expediten"]
tt9310230	4	nm0027633	actress	\N	["Alice"]
tt9310230	5	nm1010191	director	\N	\N
tt9310230	6	nm0278980	cinematographer	\N	\N
tt9310230	7	nm0644653	editor	\N	\N
tt9310230	8	nm0290472	production_designer	\N	\N
tt9310230	9	nm0353319	production_designer	\N	\N
tt9310232	1	nm0146242	actor	\N	["Programledare","Petter Niklasson","Werner"]
tt9310232	2	nm10271321	actress	\N	["Programledare","Intervjuaren"]
